Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Reves;Barrido Fuerte;Match Duration
Clara Azurmendi;"-13;-54 (1)";22;11;12;760600;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"7;2 (1)";22;12;4;760600;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Unforced Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (22);22;;;764440;29080;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (23);23;;;793520;7840;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"2;24 (6)";23;1;7;791520;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"-5;-17 (1)";23;2;3;792560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Line Kjaersfeldt;"-15;55 (1)";23;3;9;792560;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;F;
Clara Azurmendi;"-13;-39 (2)";23;4;8;793600;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Attack;;;;;
Line Kjaersfeldt;"11;35 (2)";23;5;8;794320;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-17 (1)";23;6;4;794320;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"15;56 (2)";23;7;12;794320;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"13;-42 (1)";23;8;5;796800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;;;;;
Line Kjaersfeldt;"-13;15 (2)";23;9;1;796800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-13;1 (2)";23;10;1;798240;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Error Line Kjaersfeldt;;;;
Clara Azurmendi;Rest Time (23);23;;;801360;17640;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (24);24;;;819000;5200;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"3;-25 (1)";24;1;6;817000;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand short service;8;;Construccion;;;;;
Line Kjaersfeldt;"-15;14 (1)";24;2;1;817960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"-12;-11 (1)";24;3;4;817960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;54 (1)";24;4;12;817960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"15;-41 (2)";24;5;5;819960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;;;;;
Line Kjaersfeldt;"14;33 (1)";24;6;8;819960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Construccion;;;;;
Clara Azurmendi;"14;1 (1)";24;7;4;819960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (24);24;;;824200;15760;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (25);25;;;839960;7800;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-1;-25 (1)";25;1;7;837960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand flick;11;;Construccion;;;;;
Line Kjaersfeldt;"15;55 (2)";25;2;12;838960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"-9;-56 (1)";25;3;12;838960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"12;57 (1)";25;4;12;838960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;F;
Clara Azurmendi;"-14;-39 (1)";25;5;8;841800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Attack;;;;;
Line Kjaersfeldt;"-15;36 (1)";25;6;5;841800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Defence;;;;;
Clara Azurmendi;"13;-16 (1)";25;7;1;842440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;54 (2)";25;8;9;843440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Clara Azurmendi;"-18;-55 (1)";25;9;Out;843440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (25);25;;;847760;17600;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (26);26;;;865360;11520;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"2;-27 (1)";26;1;6;863360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand flick;9;;Construccion;;;;;
Line Kjaersfeldt;"-2;54 (2)";26;2;10;863920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;10;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-34 (1)";26;3;8;863920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Attack;;;;;
Line Kjaersfeldt;"-15;39 (1)";26;4;5;865680;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Defence;;;;;
Clara Azurmendi;"-14;-55 (5)";26;5;12;866080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"13;15 (1)";26;6;4;866080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Defence;;;;;
Clara Azurmendi;"-13;-8 (1)";26;7;4;867960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"-15;12 (2)";26;8;1;867960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Clara Azurmendi;"-14;-54 (1)";26;9;12;870440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;55 (4)";26;10;9;870440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Construccion;;;;;
Clara Azurmendi;"15;-17 (1)";26;11;1;870440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"11;6 (1)";26;12;4;873320;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Attack;;;;;
Clara Azurmendi;"12;-41 (1)";26;13;5;874200;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (26);26;;;876880;28040;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (27);27;;;904920;4200;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-1;25 (2)";27;1;6;902920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;6;;Construccion;;;;;
Clara Azurmendi;"5;-17 (2)";27;2;2;903960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada;Construccion;;;;;
Line Kjaersfeldt;"-15;8 (1)";27;3;1;903960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"14;-55 (3)";27;4;9;903960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;;
Line Kjaersfeldt;"19;54 (1)";27;5;Out;905680;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;OUT SIDE;;;;;Construccion;Error Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (27);27;;;909120;15960;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (28);28;;;925080;8120;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"3;26 (1)";28;1;7;923080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Line Kjaersfeldt;Backhand short service;7;;Construccion;;;;;
Clara Azurmendi;"-10;-17 (1)";28;2;4;924080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"12;6 (1)";28;3;4;924080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Clara Azurmendi;"10;-8 (1)";28;4;1;924080;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"5;55 (1)";28;5;11;926680;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;11;;;;;Attack;;;;;
Clara Azurmendi;"13;-42 (2)";28;6;5;927800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Defence;;;;;
Line Kjaersfeldt;"4;13 (1)";28;7;3;928440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Clara Azurmendi;"-12;-13 (2)";28;8;4;928440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;;;;;
Line Kjaersfeldt;"15;54 (1)";28;9;12;928440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (28);28;;;933200;16320;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (29);29;;;949520;3200;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-1;-25 (2)";29;1;7;947520;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand short service;6;;Construccion;;;;;
Line Kjaersfeldt;"4;16 (1)";29;2;3;948440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Clara Azurmendi;"11;-7 (1)";29;3;1;948440;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Defence;;;;;
Line Kjaersfeldt;"11;6 (2)";29;4;4;949480;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;4;;;;;Construccion;Winner Clara Azurmendi;;;;
Line Kjaersfeldt;Rest Time (29);29;;;952720;15240;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (30);30;;;967960;6400;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"2;-27 (2)";30;1;6;965960;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Clara Azurmendi;Backhand short service;6;;Construccion;;;;;
Line Kjaersfeldt;"-4;16 (1)";30;2;2;966880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Finta;Construccion;;;;;
Clara Azurmendi;"13;-55 (1)";30;3;9;966920;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Attack;;;;;
Line Kjaersfeldt;"13;38 (1)";30;4;8;967880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Defence;;;;;
Clara Azurmendi;"-3;-15 (1)";30;5;3;968360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;3;;;;;Construccion;;;;;
Line Kjaersfeldt;"11;35 (3)";30;6;8;968360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;8;;;;;Construccion;;;;;
Clara Azurmendi;"-13;-55 (1)";30;7;12;968360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Line Kjaersfeldt;"-14;5 (1)";30;8;1;971160;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Clara Azurmendi;"-10;2 (1)";30;9;1;971160;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;NET;;;;;Construccion;Unforced Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (30);30;;;974360;20480;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (31);31;;;994840;5040;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Clara Azurmendi;"-2;-24 (3)";31;1;7;992840;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;7;Clara Azurmendi;Backhand flick;10;;Construccion;;;;;
Line Kjaersfeldt;"9;55 (1)";31;2;12;993800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Clara Azurmendi;"8;-38 (1)";31;3;5;993800;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Defence;;;;;
Line Kjaersfeldt;"-4;14 (1)";31;4;2;994360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;;Construccion;;;;;
Clara Azurmendi;"-14;-55 (6)";31;5;12;994360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;56 (2)";31;6;9;994360;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Attack;;;;;
Clara Azurmendi;"13;-28 (1)";31;7;5;997880;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;5;;;;;Construccion;Winner Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (31);31;;;999880;27360;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;;1;1;All England 2022;46;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (32);32;;;1027240;11440;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;;;;;;;;;;;
Line Kjaersfeldt;"-2;25 (2)";32;1;6;1025240;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;6;Line Kjaersfeldt;Backhand short service;5;;Construccion;;;;;
Clara Azurmendi;"3;-16 (1)";32;2;2;1026240;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;2;;;;Modificada/Finta;Construccion;;;;;
Line Kjaersfeldt;"13;55 (3)";32;3;12;1026280;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Defence;;;;;
Clara Azurmendi;"12;-16 (1)";32;4;1;1027200;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
Line Kjaersfeldt;"-15;55 (2)";32;5;9;1027200;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;9;;;;;Defence;;;;;
Clara Azurmendi;"-14;-56 (1)";32;6;12;1029280;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;12;;;;;Construccion;;;;;
Line Kjaersfeldt;"-14;14 (1)";32;7;1;1029280;5000;5;ESP;DEN;After;Clara Azurmendi-Line Kjaersfeldt;Right handed;Right handed;Clara Azurmendi;Line Kjaersfeldt;Rally Time;1;1;All England 2022;46;1;;;;;Construccion;;;;;
